City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,happy valley-goose bay,53.3168,-60.3315,-3.83,68,100,7.72,CA,2023-12-08
250,labrador city,52.9463,-66.9114,-10.05,79,100,3.6,CA,2023-12-08
251,mercedes,-34.6515,-59.4307,20.44,63,0,2.57,AR,2023-12-08
252,chapaev,50.2,51.1667,-8.1,79,91,3.38,KZ,2023-12-08
253,kolokani,13.5728,-8.0339,24.19,18,4,3.98,ML,2023-12-08
254,demre,36.2537,29.9777,15.03,77,100,1.12,TR,2023-12-08
255,lijiang,26.8688,100.2207,7.3,97,100,1.06,CN,2023-12-08
256,vallenar,-28.5708,-70.7581,23.11,43,0,1.66,CL,2023-12-08
257,miquelon,47.0975,-56.3814,-1.0,64,84,12.87,PM,2023-12-08
258,san martin,-33.081,-68.4681,30.3,17,0,4.55,AR,2023-12-08
259,amahai,-3.3333,128.9167,28.79,69,100,0.44,ID,2023-12-08
260,lagos,6.5833,3.75,27.18,86,100,1.91,NG,2023-12-08
261,tamanrasset,22.785,5.5228,11.95,19,0,2.57,DZ,2023-12-08
262,palmer,42.1584,-72.3287,-0.32,80,75,0.0,US,2023-12-08
263,kegalle,7.2532,80.3454,22.81,98,78,0.66,LK,2023-12-08
264,heunghae,36.1125,129.3522,9.48,72,0,4.23,KR,2023-12-08
265,watertown,42.3709,-71.1828,-0.57,63,0,3.09,US,2023-12-08
266,howard springs,-12.497,131.047,29.99,84,98,1.18,AU,2023-12-08
267,shalya,57.2471,58.7298,-33.1,94,7,0.43,RU,2023-12-08
268,island harbour,50.724,-1.2758,9.96,94,100,1.34,GB,2023-12-08
269,heilbron,-27.2812,27.9709,16.58,84,93,5.83,ZA,2023-12-08
270,besskorbnaya,44.6447,41.311,1.95,96,100,6.26,RU,2023-12-08
271,kapren,25.4167,76.0667,16.79,66,0,0.8,IN,2023-12-08
272,umm kaddadah,13.6017,26.6876,17.78,20,51,4.52,SD,2023-12-08
273,karwar,14.8,74.1333,23.48,73,87,2.09,IN,2023-12-08
274,fengcheng,40.4536,124.0717,3.36,97,100,1.49,CN,2023-12-08
275,nicoya,10.1483,-85.452,25.67,74,2,4.53,CR,2023-12-08
276,qarazhal,48.0078,70.7903,-13.52,60,90,5.81,KZ,2023-12-08
277,gympie,-26.1898,152.665,29.92,42,22,3.85,AU,2023-12-08
278,greymouth,-42.4667,171.2,16.14,61,44,3.75,NZ,2023-12-08
279,tsiombe,-25.3,45.4833,22.11,83,61,6.72,MG,2023-12-08
280,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,2023-12-08
281,victorica,-36.2151,-65.4359,23.24,36,10,7.56,AR,2023-12-08
282,tateyama,34.9833,139.8667,14.5,49,0,3.29,JP,2023-12-08
283,kharkhorin,47.1975,102.8238,-15.89,86,4,1.68,MN,2023-12-08
284,punta cardon,11.6581,-70.215,26.75,79,78,10.61,VE,2023-12-08
285,ulladulla,-35.35,150.4667,30.43,45,68,3.34,AU,2023-12-08
286,kenai,60.5544,-151.2583,-5.48,90,100,5.14,US,2023-12-08
287,kittila,67.6647,24.8936,-10.92,85,100,6.69,FI,2023-12-08
288,anan,33.9167,134.65,6.88,52,0,1.94,JP,2023-12-08
289,bangar,16.8936,120.4243,27.64,69,35,0.71,PH,2023-12-08
290,belabo,4.9333,13.3,21.67,94,95,0.96,CM,2023-12-08
291,santa cruz,-17.8,-63.1667,29.7,62,40,4.12,BO,2023-12-08
292,haffouz,35.6324,9.6762,8.57,74,1,1.86,TN,2023-12-08
293,huarmey,-10.0681,-78.1522,21.05,84,41,4.1,PE,2023-12-08
294,tazacorte,28.629,-17.9293,19.54,75,75,4.63,ES,2023-12-08
295,longyearbyen,78.2186,15.6401,-1.09,69,40,9.26,SJ,2023-12-08
296,camana,-16.6228,-72.7111,20.18,76,65,3.12,PE,2023-12-08
297,kapa'a,22.0752,-159.319,27.18,69,0,4.12,US,2023-12-08
298,korla,41.7597,86.1469,1.43,56,92,4.68,CN,2023-12-08
299,beaufort west,-32.3567,22.583,19.68,33,0,0.88,ZA,2023-12-08
300,akrehamn,59.2667,5.1833,2.45,64,45,5.66,NO,2023-12-08
301,nova vicosa,-17.8919,-39.3719,24.69,86,3,4.51,BR,2023-12-08
302,iskateley,67.6803,53.1512,-14.43,96,100,3.58,RU,2023-12-08
303,avarua,-21.2078,-159.775,27.03,65,100,6.69,CK,2023-12-08
304,fayroz koh,34.5195,65.2509,1.59,30,68,1.81,AF,2023-12-08
305,zeya,53.75,127.2667,-25.84,100,100,1.05,RU,2023-12-08
306,santa vitoria do palmar,-33.5189,-53.3681,16.15,78,27,5.34,BR,2023-12-08
307,jalai nur,49.45,117.7,-18.09,76,100,8.03,CN,2023-12-08
308,port de pollenca,39.9075,3.0814,17.02,80,99,5.9,ES,2023-12-08
309,great falls,47.5002,-111.3008,4.82,73,100,2.06,US,2023-12-08
310,east london,-33.0153,27.9116,21.3,88,24,3.22,ZA,2023-12-08
311,revelstoke,50.9832,-118.2023,1.01,93,100,2.57,CA,2023-12-08
312,amurzet,47.6967,131.0981,-13.87,92,100,2.81,RU,2023-12-08
313,tosontsengel,48.7567,98.2839,-28.21,99,75,0.46,MN,2023-12-08
314,nouadhibou,20.931,-17.0347,21.99,60,53,5.66,MR,2023-12-08
315,remire-montjoly,4.9167,-52.2667,27.02,94,40,1.54,GF,2023-12-08
316,pandan,14.0453,124.1694,28.09,71,98,2.59,PH,2023-12-08
317,morrope,-6.5417,-80.0111,22.06,73,56,6.77,PE,2023-12-08
318,la'ie,21.6477,-157.9253,28.58,61,16,0.89,US,2023-12-08
319,belmonte,-15.8631,-38.8828,24.72,87,5,3.66,BR,2023-12-08
320,venancio aires,-29.6064,-52.1919,23.79,94,73,1.51,BR,2023-12-08
321,margate,51.3813,1.3862,9.39,95,100,4.47,GB,2023-12-08
322,fale old settlement,-9.3852,-171.2468,28.38,77,100,3.59,TK,2023-12-08
323,onega,63.9061,38.1404,-22.0,99,50,2.19,RU,2023-12-08
324,lazaro cardenas,17.9583,-102.2,26.6,74,17,1.23,MX,2023-12-08
325,mukalla,14.5425,49.1242,22.83,71,7,2.25,YE,2023-12-08
326,naze,28.3667,129.4833,16.51,62,0,1.06,JP,2023-12-08
327,ola,59.5833,151.2833,-7.14,85,100,7.63,RU,2023-12-08
328,qaisumah,28.3112,46.1273,13.98,51,0,1.54,SA,2023-12-08
329,banda aceh,5.5577,95.3222,25.85,83,100,3.0,ID,2023-12-08
330,whitby,54.4877,-0.615,5.64,91,100,1.79,GB,2023-12-08
331,lavra,41.2594,-8.7185,13.56,95,63,8.62,PT,2023-12-08
332,tolanaro,-25.0319,46.9987,23.04,88,40,5.14,MG,2023-12-08
333,beinamar,8.6698,15.3813,23.96,22,45,1.65,TD,2023-12-08
334,meulaboh,4.1363,96.1285,24.66,89,100,1.55,ID,2023-12-08
335,khammam,17.25,80.15,19.31,91,16,2.61,IN,2023-12-08
336,kavieng,-2.5744,150.7967,27.91,78,90,3.05,PG,2023-12-08
337,acapulco de juarez,16.8634,-99.8901,28.9,79,75,3.09,MX,2023-12-08
338,bridgewater,44.3835,-64.5155,-2.18,87,61,5.66,CA,2023-12-08
339,marsh harbour,26.5412,-77.0636,21.68,54,100,4.36,BS,2023-12-08
340,port saint john's,-31.6229,29.5448,20.26,73,8,2.5,ZA,2023-12-08
341,broome,42.2506,-75.833,2.16,91,100,2.06,US,2023-12-08
342,upper sandusky,40.8273,-83.2813,6.55,75,18,3.58,US,2023-12-08
343,lydenburg,-25.0978,30.4597,13.46,96,8,0.94,ZA,2023-12-08
344,rio grande,-32.035,-52.0986,19.06,76,38,8.28,BR,2023-12-08
345,sumbe,-11.2061,13.8437,25.63,91,100,3.0,AO,2023-12-08
